Epochs,Loss,Error,Time
158,34933708.0,No Error,2018-05-20 04:34:02.886925
159,34974284.0,No Error,2018-05-20 04:45:21.613572
160,34931348.0,No Error,2018-05-20 04:56:13.302902
161,34919368.0,No Error,2018-05-20 05:07:36.695714
162,35016956.0,No Error,2018-05-20 05:19:41.990355
163,34922924.0,No Error,2018-05-20 05:29:42.272577
164,35117404.0,No Error,2018-05-20 05:41:40.581910
165,35035364.0,No Error,2018-05-20 05:56:04.646409
166,35403716.0,No Error,2018-05-20 06:09:45.056761
167,35264784.0,No Error,2018-05-20 06:24:15.765927
168,34991772.0,No Error,2018-05-20 06:36:18.058111
169,34904704.0,No Error,2018-05-20 06:47:52.900232
170,34874472.0,No Error,2018-05-20 07:01:40.320806
171,35321620.0,No Error,2018-05-20 07:17:50.230456
172,34894856.0,No Error,2018-05-20 07:32:45.728647
173,35027924.0,No Error,2018-05-20 07:48:47.114649
174,34888220.0,No Error,2018-05-20 08:04:12.727239
175,35043988.0,No Error,2018-05-20 08:23:05.229946
176,34885124.0,No Error,2018-05-20 08:36:49.520951
177,35051968.0,No Error,2018-05-20 08:46:17.574544
178,34901684.0,No Error,2018-05-20 08:55:22.950649
179,34852280.0,No Error,2018-05-20 09:04:03.196571
180,34878468.0,No Error,2018-05-20 09:13:14.568602
181,34912948.0,No Error,2018-05-20 09:24:02.879707
182,34939524.0,No Error,2018-05-20 09:34:34.158255
183,35001264.0,No Error,2018-05-20 09:46:04.489111
184,34920784.0,No Error,2018-05-20 09:57:16.282401
185,35059088.0,No Error,2018-05-20 10:09:24.133249
186,34890900.0,No Error,2018-05-20 10:21:28.950070
187,35041744.0,No Error,2018-05-20 10:33:34.330424
188,34928352.0,No Error,2018-05-20 10:48:01.132817
189,34993236.0,No Error,2018-05-20 11:02:43.879159
190,35028072.0,No Error,2018-05-20 11:17:18.897345
191,34842924.0,No Error,2018-05-20 11:31:44.594242
192,35031308.0,No Error,2018-05-20 11:43:13.561758
193,34916268.0,No Error,2018-05-20 11:55:15.144054
194,34849464.0,No Error,2018-05-20 12:08:35.681169
195,34908800.0,No Error,2018-05-20 12:23:54.863685
196,34867008.0,No Error,2018-05-20 12:38:31.614329
197,35013512.0,No Error,2018-05-20 12:55:30.963611
198,35206256.0,No Error,2018-05-20 13:15:56.140651
199,35000844.0,No Error,2018-05-20 13:30:47.993187
